categorie,question,reponse,note,sources
Reconnaître et détecter la désinformation,Comment vérifier si une image a été générée par une IA ?,"Pour vérifier si une image a été générée par une IA, plusieurs approches existent :

**Les outils de détection spécialisés** : Des plateformes dédiées permettent d'analyser les images, comme **Verify**, lancé par OpenAI en mai 2026, qui combine le standard **C2PA** et le **watermark invisible SynthID** pour détecter les images synthétiques.

**L'analyse par IA médico-légale** : Des classificateurs de réseaux neuronaux analysent les motifs au niveau des pixels, les domaines de fréquence, les alignements ou nuances de couleur non naturels, et comparent la distribution des traits avec des images de référence.

**L'analyse visuelle des artefacts** : On peut rechercher des incohérences comme des pixels suspects, des ombres ou résolutions anormales, des mouvements impossibles (pour les vidéos), ou des variations de luminosité non naturelles.

En pratique, l'œil nu est devenu insuffisant en 2026, car les modèles génératifs produisent des visuels d'un réalisme quasi indiscernable. Il est donc recommandé de s'appuyer sur des **outils automatisés** plutôt que sur une simple inspection visuelle.",8,https://digitiz.fr/verifier-image-ia/ | https://www.sentinelone.com/fr/cybersecurity-101/cybersecurity/deepfakes/ | https://www.mcafee.com/learn/fr/guide-sur-les-escroqueries-de-type-deepfake-et-lusurpation-vocale-par-lia/ | https://lucide.ai/desinformation-detection-ia/
Reconnaître et détecter la désinformation,Comment repérer un article écrit par une IA ?,"D'après les documents, plusieurs indices permettent de repérer un article écrit par une IA :

**Indices linguistiques :** expressions typiques (""Dans le paysage actuel"", ""Il est crucial de noter""), abus d'adverbes (notamment, particulièrement), répétitions inhabituelles, langage trop générique et style artificiel.

**Indices structurels :** une structure trop régulière, un ton uniformément neutre sans prise de position, et une absence d'anecdotes personnelles.

**Indices stylistiques avancés :** les mots suivent une ""ligne de moindre résistance"" (prévisibilité statistique élevée), avec une fréquence trop régulière de certains termes et une absence de mots rares ou de néologismes spontanés.

Des outils automatisés de détection existent également (comme Copyleaks), et il est possible d'utiliser des prompts spécialisés pour analyser un texte suspect via une approche de linguistique forensique.",9,https://lucide.ai/desinformation-detection-ia/ | https://cours-ndrc.fr/detecter-ecriture-ia-guide-2026/
Reconnaître et détecter la désinformation,Est-ce que les deepfakes sont toujours visibles à l’œil nu ?,"Non, les deepfakes ne sont pas toujours visibles à l'œil nu. Bien qu'il existe des indices à rechercher (mouvements faciaux rigides, clignements anormaux, éclairage incohérent, etc.), une méta-analyse académique de 2024 a établi que la précision moyenne des humains pour reconnaître les deepfakes n'est que de **55,5%**, ce qui est statistiquement comparable au hasard. Les deepfakes de dernière génération sont particulièrement difficiles à détecter sans analyse technique.",10,https://www.datackathon.com/voici-les-signes-qui-permettent-de-reconnaitre-facilement-un-deep-fake/ | https://www.mcafee.com/blogs/fr-fr/internet-security/le-guide-ultime-des-deepfakes-generes-par-lia/ | https://truescreen.io/articles/deepfake-complete-guide/ | https://www.keepersecurity.com/blog/fr/2024/09/19/what-are-deepfakes/
Reconnaître et détecter la désinformation,Peut-on se fier à son intuition pour détecter une fake news ?,"Non, il n'est pas recommandé de se fier à son intuition pour détecter une fake news. Selon les documents, notre cerveau est naturellement vulnérable à la désinformation en raison de nos biais cognitifs, notamment le fait que plus une information est répétée, plus on la croit vraie, ou encore que plus une déclaration est complexe, plus on la juge crédible. L'intuition relève du **système 1** (instinctif, rapide, sans effort), qui est précisément celui qui engage ces biais cognitifs. Pour résister à la désinformation, il faudrait au contraire mobiliser le **système 3** (contrôle cognitif) pour freiner les réflexes du système 1 et engager une analyse rationnelle.",8,https://www.meta-media.fr/2023/05/20/notre-cerveau-aime-la-desinformation.html | https://ici.radio-canada.ca/nouvelle/1173415/pourquoi-croyance-fausses-nouvelles-complots-cerveau-biais-cognitifs | https://larevuedesmedias.ina.fr/sites/default/files/2025-02/Alliance_for_facts_IA_journalisme_FR_compressed_0.pdf | https://www.strategies.fr/actualites/tribunes/LQ5118480C/fake-news-la-chaine-lia-passe-loffensive-ludovic-desgranges-newscore.html
Reconnaître et détecter la désinformation,Quels sont les réflexes à avoir avant de partager une information ?,"Avant de partager une information, plusieurs réflexes sont recommandés :

- **Prendre du recul émotionnel** : ne pas réagir immédiatement, surtout face à un contenu qui provoque de la peur ou de la colère, et laisser passer un peu de temps avant d'interagir.
- **Croiser les sources** : vérifier l'information auprès de plusieurs sources fiables plutôt que de se fier à un seul contenu.
- **Vérifier les Content Credentials** lorsqu'ils sont disponibles, ces « étiquettes d'authenticité » indiquant qui a produit le contenu, quand et avec quel outil.
- **S'informer activement** plutôt que passivement (en évitant le simple scroll sur les réseaux sociaux) et choisir des médias dignes de confiance.",9,https://www.meta-media.fr/2023/05/20/notre-cerveau-aime-la-desinformation.html | https://madeinperpignan.com/education-medias-biais-cognitifs-allies-desinformation/ | https://www.groupeonepoint.com/fr/publications/deepfakes-revelateurs-de-nos-vulnerabilites-cognitives/ | https://pedagogie.ac-toulouse.fr/emi/deepfake-et-ia-comment-proteger-vos-enfants
Reconnaître et détecter la désinformation,Pourquoi certaines fake news semblent très crédibles ?,"Les documents fournis n'expliquent pas directement pourquoi certaines fake news semblent très crédibles. Cependant, on peut noter que notre cerveau est vulnérable aux fausses nouvelles en raison de **biais cognitifs**, notamment le biais de confirmation qui nous pousse à croire ce qui confirme nos croyances préexistantes. De plus, les fake news sont souvent conçues pour **déclencher une forte réponse émotionnelle**, ce qui peut court-circuiter notre esprit critique et nous rendre plus enclins à les croire et à les partager sans vérification.",7,https://lucide.ai/desinformation-detection-ia/ | https://www.clemi.fr/ressources/les-series-de-ressources/ateliers-decliccritique/fiche-info-les-sites-satiriques-du-rire-aux-fake-news | https://mutuelleratp.fr/l-essentiel-de-votre-mutuelle/reseaux-sociaux-les-dangers-de-la-desinformation/ | https://ici.radio-canada.ca/nouvelle/1173415/pourquoi-croyance-fausses-nouvelles-complots-cerveau-biais-cognitifs | https://www.bitdefender.com/fr-fr/blog/hotforsecurity/la-courtoisie-sur-les-reseaux-sociaux
Reconnaître et détecter la désinformation,Comment vérifier la source d’une information en ligne ?,"D'après les documents, plusieurs approches permettent de vérifier la source d'une information en ligne :

- **Comparer plusieurs sources** en recherchant votre information sur les moteurs de recherche et en analysant les résultats.
- **Consulter des plateformes de fact-checking** reconnues comme DE FACTO ou Factuel AFP, ou utiliser **Google Fact Check Explorer** qui agrège des vérifications publiées par des organismes indépendants.
- **Analyser les indices linguistiques et métalinguistiques** d'un article (vocabulaire, structure, auteur, images associées) pour évaluer la fiabilité de la source.
- **Vérifier les images** via des outils de recherche inversée comme **Google Images** ou **TinEye**, afin de détecter d'éventuelles manipulations visuelles.

En général, une source fiable se base sur des faits vérifiés, mène des enquêtes rigoureuses et est transparente quant à ses méthodes.",9,https://www.narratiiv.school/actualites/journalisme/comment-les-journalistes-utilisent-ils-l-ia | https://defacto-observatoire.fr/Desinfopedia/Outils-de-fact-checking/ | https://blog.google/intl/fr-fr/nouveautes-produits/explorez-obtenez-des-reponses/recherche-google-outils-fact-checking/ | https://www.demotal.fr/etudes-de-cas/comment-lutter-contre-les-fake-news-grace-au-fact-checking/
Reconnaître et détecter la désinformation,Existe-t-il des outils pour détecter les deepfakes ?,"Oui, plusieurs outils et technologies existent pour détecter les deepfakes. Parmi les principales solutions, on peut citer **GenConViT** (95% de précision en laboratoire), **Intel FakeCatcher** (qui détecte le pouls biologique), **Reality Defender** (analyse multimodale) et **C2PA** (authentification préventive). Des plateformes comme X, Facebook et Google travaillent également sur des outils de détection, et l'agence américaine DARPA finance des recherches via son programme **MediFor**. Cependant, aucun outil n'est infaillible, et la course entre la création et la détection de deepfakes reste un défi constant.",9,https://www.mcafee.com/blogs/fr-fr/internet-security/le-guide-ultime-des-deepfakes-generes-par-lia/ | https://www.groupeonepoint.com/fr/publications/deepfakes-revelateurs-de-nos-vulnerabilites-cognitives/ | https://us.norton.com/blog/emerging-threats/what-are-deepfakes | https://www.cambridge.org/core/journals/data-and-policy/article/role-of-artificial-intelligence-in-disinformation/7C4BF6CA35184F149143DE968FC4C3B6 | https://www.lemagit.fr/actualites/366638742/5-outils-de-detection-des-deepfakes-pour-proteger-les-utilisateurs-professionnels
Impacts psychologiques et sociaux,Pourquoi la désinformation fonctionne-t-elle aussi bien ?,"Selon les documents, la désinformation fonctionne bien car les campagnes réussies s'appuient généralement sur **des éléments de vérité** qui peuvent être manipulés, sur la **méfiance à l'égard des gouvernements et des institutions**, ainsi que sur les **théories du complot déjà présentes** et circulant au sein des groupes. De plus, elle peut se diffuser par de nombreux canaux, aussi bien en ligne (réseaux sociaux) que hors ligne, ce qui facilite sa propagation.",9,https://www.who.int/fr/news-room/questions-and-answers/item/disinformation-and-public-health | https://centredecrise.be/fr/risques-en-belgique/risques-man-made/desinformation/quest-ce-que-la-mesinformation-et-la | https://ici.radio-canada.ca/info/decrypteurs/ateliers-combattre-desinformation/fausses-nouvelles/
Impacts psychologiques et sociaux,Les deepfakes peuvent-ils provoquer des paniques collectives ?,"Oui, les deepfakes ont ce potentiel. Selon les sources, une vidéo manipulée d'un directeur financier ordonnant un virement frauduleux peut par exemple **déclencher une panique actionnariale avant même que la vérité soit rétablie**. Plus largement, leur effet le plus pernicieux réside dans leur capacité à éroder la confiance collective dans l'information visuelle, poussant certaines personnes vers le déni ou une hypervigilance anxieuse.

Toutefois, une nuance importante s'impose : jusqu'à présent, les deepfakes **n'ont pas encore provoqué de catastrophes politiques, économiques ou sociales majeures**, et leur influence est restée marginale dans les cas documentés.",9,https://decisionia.com/deepfakes-desinformation-protection-entreprises/ | https://larevuedesmedias.ina.fr/les-deepfakes-sont-ils-une-arme-dillusion-massive | https://www.groupeonepoint.com/fr/publications/deepfakes-revelateurs-de-nos-vulnerabilites-cognitives/ | https://blog.mbadmb.com/deepfake-videos-reseaux-sociaux-dangers/ | https://www.keepersecurity.com/blog/fr/2024/09/19/what-are-deepfakes/
Impacts psychologiques et sociaux,Quels impacts sur la confiance envers les médias ?,"La désinformation et les deepfakes ont plusieurs impacts négatifs sur la confiance envers les médias :

La prolifération des contenus falsifiés érode la confiance du public dans les sources d'information légitimes : les gens, se méfiant des contenus manipulés, risquent de ne plus croire des informations réelles et factuelles, entraînant une **crise générale de crédibilité**. En France, ce phénomène est déjà perceptible : 57 % des Français estiment qu'il faut se méfier de ce que disent les médias, et 1 Français sur 2 ressent de la **fatigue informationnelle**.

Du côté des médias eux-mêmes, si un contenu audiovisuel utilisé comme preuve dans un reportage s'avère être un deepfake non vérifié, les dommages pour la rédaction et sa relation avec son audience pourraient être **irréparables**.

Enfin, même les corrections factuelles peinent à rectifier le tir, car les utilisateurs s'accrochent souvent à leurs croyances si la désinformation correspond à leurs émotions et préjugés existants.",9,https://www.oecd.org/en/topics/disinformation-and-misinformation.html | https://www.mcafee.com/blogs/fr-fr/internet-security/le-guide-ultime-des-deepfakes-generes-par-lia/ | https://mutuelleratp.fr/l-essentiel-de-votre-mutuelle/reseaux-sociaux-les-dangers-de-la-desinformation/ | https://www.ledevoir.com/opinion/idees/816968/comment-emotions-alimentent-fausses-nouvelles-reseaux-sociaux | https://www.ibm.com/think/insights/new-wave-deepfake-cybercrime
Impacts psychologiques et sociaux,Est-ce que l’IA peut faire perdre confiance dans les preuves visuelles ?,"Oui, selon les sources disponibles, l'IA contribue effectivement à une perte de confiance dans les preuves visuelles. Les deepfakes permettent désormais de remplacer la tête ou la voix d'une personne par celle d'une autre, ce qui remet en question ce qui pourrait être considéré comme une preuve. Cela pousse le public à douter de la véracité des clips vidéo et de l'authenticité du journalisme, faisant de la question « qu'est-ce qui est deepfake ou réel ? » un enjeu majeur pour la justice et le public.",9,https://www.sentinelone.com/fr/cybersecurity-101/cybersecurity/deepfakes/ | https://www.lebigdata.fr/clonage-voix-ia-arnaque | https://larevuedesmedias.ina.fr/sites/default/files/2025-02/Alliance_for_facts_IA_journalisme_FR_compressed_0.pdf | https://aiexplorer.io/guides-ia/comment-identifier-un-deepfake/
Impacts psychologiques et sociaux,Comment la désinformation affecte-t-elle la démocratie ?,"La désinformation affecte la démocratie de plusieurs façons importantes. Elle mine la confiance dans les institutions et les processus électoraux, alimente la polarisation et la radicalisation, et perturbe les processus démocratiques tels que les élections. Elle peut également semer la méfiance envers les médias traditionnels, les chercheurs et le gouvernement.

Les deepfakes constituent une menace particulière, car leur prolifération risque d'engendrer un soupçon généralisé sur l'authenticité de tous les contenus, ce qui est particulièrement dangereux en période électorale. Le Forum économique mondial classe d'ailleurs la désinformation alimentée par l'IA comme la première menace mondiale pour les deux prochaines années.",9,https://www.oecd.org/en/topics/disinformation-and-misinformation.html | https://centredecrise.be/fr/risques-en-belgique/risques-man-made/desinformation/quest-ce-que-la-mesinformation-et-la | https://rsf.org/fr/deepfakes-quatre-solutions-pour-%C3%A9viter-la-violation-du-droit-%C3%A0-l-information | https://www.ibm.com/think/insights/new-wave-deepfake-cybercrime
Impacts psychologiques et sociaux,Quels effets sur les relations sociales et familiales ?,"D'après les documents, la désinformation et les réseaux sociaux ont plusieurs effets négatifs sur les relations sociales et familiales.

Les bulles créées par les réseaux sociaux **détruisent la résilience sociale** en cassant les liens forts et faibles qui unissent les individus, entraînant un renfermement sur soi et de la peur. Ce phénomène favorise la radicalisation et profite aux partis extrémistes.

Par ailleurs, le sentiment de **solitude et d'isolement** social rend les individus plus vulnérables aux fausses nouvelles et aux théories du complot, affectant leur jugement et leur perception des menaces.

Sur le plan familial, il est recommandé aux parents d'engager le dialogue avec leurs enfants autour des contenus numériques, en faisant des écrans **des alliés dans la dynamique familiale** plutôt que des sources de division.",8,https://ici.radio-canada.ca/nouvelle/1173415/pourquoi-croyance-fausses-nouvelles-complots-cerveau-biais-cognitifs | https://www.frenchweb.fr/comment-vos-emotions-sont-elles-manipulees-a-travers-les-reseaux-sociaux/339516 | https://mutuelleratp.fr/l-essentiel-de-votre-mutuelle/reseaux-sociaux-les-dangers-de-la-desinformation/ | https://observatoirenumerique.fr/la-polarisation-sur-les-reseaux-sociaux-impact-des-biais-cognitifs/ | https://www.meta-media.fr/2023/05/20/notre-cerveau-aime-la-desinformation.html
Impacts psychologiques et sociaux,Peut-on devenir victime sans s’en rendre compte ?,"Oui, absolument. Plusieurs mécanismes font qu'on peut être trompé sans en avoir conscience. Les émotions comme la peur, la colère ou la joie compromettent nos capacités de pensée critique, nous rendant plus susceptibles de croire à la désinformation sans le réaliser. De même, des biais cognitifs comme le biais d'intentionnalité ou la tendance à chercher du sens opèrent souvent de façon inconsciente. Les deepfakes exploitent également ces failles psychologiques « avec une précision chirurgicale », rendant la distinction entre le vrai et le faux de plus en plus difficile, même pour des personnes vigilantes.",9,https://www.ledevoir.com/opinion/idees/816968/comment-emotions-alimentent-fausses-nouvelles-reseaux-sociaux | https://ici.radio-canada.ca/nouvelle/1173415/pourquoi-croyance-fausses-nouvelles-complots-cerveau-biais-cognitifs | https://www.cyberjustice.ca/2025/10/02/deepfakes-et-scepticisme-la-fin-de-la-preuve-audiovisuelle/ | https://www.groupeonepoint.com/fr/publications/deepfakes-revelateurs-de-nos-vulnerabilites-cognitives/
Impacts psychologiques et sociaux,Pourquoi le cerveau humain est vulnérable à la manipulation ?,"Le cerveau humain est vulnérable à la manipulation pour plusieurs raisons :

Premièrement, il accorde une confiance excessive aux informations visuelles (« effet de dominance visuelle »), mobilisant environ 50% du cortex pour le traitement des images, ce qui rend les contenus comme les deepfakes particulièrement convaincants.

Deuxièmement, notre psychologie nous pousse à croire ce qui confirme nos attentes et notre vision du monde, phénomène appelé **biais de croyance motivée**. Le cerveau produit même de la dopamine lorsqu'il traite une information qui renforce nos croyances existantes, rendant la désinformation agréable à recevoir.

À l'inverse, être confronté à des faits contraires peut être perçu comme désagréable, au point que des individus préfèrent renoncer à une récompense financière plutôt que de lire des opinions opposées aux leurs (**biais de confirmation**).

Enfin, le cerveau étant encore en construction jusqu'à 25 ans, les jeunes sont particulièrement vulnérables à ces influences.",9,https://www.groupeonepoint.com/fr/publications/deepfakes-revelateurs-de-nos-vulnerabilites-cognitives/ | https://ici.radio-canada.ca/nouvelle/1173415/pourquoi-croyance-fausses-nouvelles-complots-cerveau-biais-cognitifs | https://lejournal.cnrs.fr/articles/ia-detecter-le-vague-pour-mieux-voir-le-fake | https://www.meta-media.fr/2023/05/20/notre-cerveau-aime-la-desinformation.html
Impacts psychologiques et sociaux,Comment les émotions sont exploitées dans les fake news ?,"Les émotions jouent un rôle central dans la propagation des fake news. Les fausses informations sont délibérément conçues pour déclencher de fortes réponses émotionnelles négatives comme la peur, la colère ou le dégoût, ce qui compromet les capacités de pensée critique des individus et les rend plus enclins à croire et partager ces contenus sans les vérifier.

Ce phénomène est amplifié par les algorithmes des réseaux sociaux, qui favorisent la diffusion des contenus à forte connotation émotionnelle négative. Cela explique notamment pourquoi, selon une étude du MIT de 2018, une information erronée se propage **6 fois plus vite** qu'une information vérifiée.",9,https://www.bitdefender.com/fr-fr/blog/hotforsecurity/la-courtoisie-sur-les-reseaux-sociaux | https://www.ledevoir.com/opinion/idees/816968/comment-emotions-alimentent-fausses-nouvelles-reseaux-sociaux | https://mutuelleratp.fr/l-essentiel-de-votre-mutuelle/reseaux-sociaux-les-dangers-de-la-desinformation/ | https://madeinperpignan.com/education-medias-biais-cognitifs-allies-desinformation/
Impacts psychologiques et sociaux,Est-ce que l’humour et les memes peuvent aussi désinformer ?,"Oui, selon les extraits, l'humour et les contenus humoristiques (comme les mèmes) peuvent effectivement contribuer à la désinformation. Les blagues peuvent se propager comme de véritables informations, parfois même reprises par des personnalités politiques et des médias. Le problème vient notamment du fait que la connivence est difficile à maîtriser : l'auditoire est de moins en moins anticipable, ce qui renforce le risque de mauvaise interprétation d'un contenu humoristique, qui peut alors être pris au premier degré et traité comme une vraie information.",9,https://www.meta-media.fr/2018/12/18/que-reste-t-il-de-lhumour-a-lere-des-fake-news.html
Cas concrets et scénarios réels,Est-ce que des deepfakes ont déjà été utilisés dans des affaires réelles ?,"Les documents fournis ne contiennent pas d'exemples précis d'affaires réelles impliquant des deepfakes. Cependant, ils mentionnent une **augmentation de 700 % des incidents liés aux deepfakes** dans le domaine des technologies financières, et indiquent que des incidents se produisent **toutes les cinq minutes dans le monde**, ce qui témoigne d'une utilisation malveillante bien réelle et répandue. Pour des cas concrets et documentés, il faudrait consulter d'autres sources.",5,https://tech-culture-mag.fr/blog/realite-des-deepfakes-xdohb | https://www.sentinelone.com/fr/cybersecurity-101/cybersecurity/deepfakes/ | https://www.keepersecurity.com/blog/fr/2024/09/19/what-are-deepfakes/ | https://www.datacamp.com/fr/blog/deepfakes
Cas concrets et scénarios réels,Existe-t-il des escroqueries basées uniquement sur de la voix clonée ?,"Oui, il existe des escroqueries basées uniquement sur de la voix clonée, sans recours à la vidéo. Par exemple, des escrocs peuvent appeler leurs victimes en imitant la voix d'un proche (conjoint, parent, enfant) ou d'un collègue pour prétendre être en situation d'urgence et réclamer de l'argent rapidement. Un cas concret illustre cela : en 2024, des escrocs ont utilisé seulement 15 secondes d'enregistrement de la voix de Jay Shooster pour appeler ses parents et leur soutirer 30 000 dollars sous prétexte d'un accident.",10,https://www.mcafee.com/learn/fr/guide-sur-les-escroqueries-de-type-deepfake-et-lusurpation-vocale-par-lia/ | https://www.unesco.org/en/articles/deepfakes-and-crisis-knowing | https://www.lebigdata.fr/clonage-voix-ia-arnaque | https://www.sentinelone.com/fr/cybersecurity-101/cybersecurity/deepfakes/
Cas concrets et scénarios réels,Des célébrités ont-elles été victimes de deepfakes ?,"Oui, de nombreuses célébrités ont été victimes de deepfakes. Par exemple, l'actrice indienne Rashmika Mandanna a été victime d'une vidéo truquée la montrant dans un ascenseur, et l'actrice Katrina Kaif a vu une scène de son film ""Tiger 3"" modifiée de manière inappropriée. Parmi les personnalités les plus ""deepfakées"", on retrouve également Taylor Swift, Tom Cruise, Scarlett Johansson, ou encore la représentante Alexandria Ocasio-Cortez, Billie Eilish et Zendaya, selon McAfee.",8,https://www.cyberdefensemagazine.com/deepfakes-and-ais-new-threat-to-security/ | https://lefteo.fr/les-deepfakes-sur-les-reseaux-sociaux/ | https://www.aol.com/articles/taylor-swift-tom-cruise-scarlett-192053528.html | https://decisionia.com/deepfakes-desinformation-protection-entreprises/ | https://www.mcafee.com/blogs/fr-fr/internet-security/le-guide-ultime-des-deepfakes-generes-par-lia/
Cas concrets et scénarios réels,Peut-on falsifier un appel vidéo en direct ?,"Oui, il est possible de falsifier un appel vidéo en direct. Des applications commerciales permettent aujourd'hui de réaliser des échanges de visages ou des synchronisations labiales en temps réel, notamment pour des vidéoconférences. Cependant, ces deepfakes en temps réel peuvent parfois être détectés en demandant à l'interlocuteur d'effectuer un mouvement physique brusque et spécifique, comme tourner rapidement la tête sur le côté, ce qui peut provoquer des glitches ou des artefacts visuels révélateurs.",9,https://www.unesco.org/en/articles/deepfakes-and-crisis-knowing | https://www.mon-enfant-et-les-ecrans.fr/deepfake-le-faux-plus-vrai-que-nature/ | https://www.lebigdata.fr/clonage-voix-ia-arnaque | https://www.sentinelone.com/fr/cybersecurity-101/cybersecurity/deepfakes/ | https://www.mcafee.com/learn/fr/guide-sur-les-escroqueries-de-type-deepfake-et-lusurpation-vocale-par-lia/
Cas concrets et scénarios réels,Est-ce que des journaux ont déjà publié des contenus générés par IA ?,"Les documents fournis ne donnent pas d'exemples précis de journaux ayant publié des contenus entièrement générés par IA. En revanche, ils montrent que de nombreuses rédactions ont élaboré des chartes encadrant l'usage de l'IA, avec souvent des garde-fous : par exemple, *Le Monde* prévoit de refuser la « création ex nihilo par une intelligence artificielle sans supervision des équipes éditoriales » et d'avertir les lecteurs en cas d'usage de l'IA.",5,https://larevuedesmedias.ina.fr/les-medias-face-lintelligence-artificielle-20-chartes-passees-au-crible | https://digital-strategy.ec.europa.eu/en/policies/code-practice-ai-generated-content | https://larevuedesmedias.ina.fr/sites/default/files/2025-02/Alliance_for_facts_IA_journalisme_FR_compressed_0.pdf | https://fr.semrush.com/blog/comment-detecter-contenus-rediges-ia-et-plagiat/
Cas concrets et scénarios réels,Comment les fake news se propagent-elles sur WhatsApp ou Telegram ?,"Les documents fournis ne mentionnent pas spécifiquement WhatsApp ou Telegram comme vecteurs de propagation des fake news, à l'exception d'une brève référence à des rumeurs diffusées sur WhatsApp en Inde ayant conduit au meurtre de plus de 20 personnes. Les extraits disponibles traitent davantage de la propagation des fake news sur des plateformes comme Facebook, YouTube, Twitter/X ou Instagram, sans détailler les mécanismes propres aux messageries comme WhatsApp ou Telegram.",5,https://lucide.ai/desinformation-detection-ia/ | https://ici.radio-canada.ca/nouvelle/1173415/pourquoi-croyance-fausses-nouvelles-complots-cerveau-biais-cognitifs | https://www.bitdefender.com/fr-fr/blog/hotforsecurity/la-courtoisie-sur-les-reseaux-sociaux | https://mutuelleratp.fr/l-essentiel-de-votre-mutuelle/reseaux-sociaux-les-dangers-de-la-desinformation/
Cas concrets et scénarios réels,Peut-on créer de faux experts avec l’IA ?,"Les documents fournis ne traitent pas directement de la création de faux experts avec l'IA. Cependant, ils mentionnent que l'IA générative est capable de produire du texte, des images, du son et des vidéos, et que des outils de clonage de voix accessibles à tous peuvent reproduire une voix avec 85% de correspondance. On peut donc en déduire que ces technologies pourraient théoriquement être utilisées pour fabriquer de faux experts, mais les excerpts disponibles n'abordent pas explicitement ce cas de figure.",5,https://www.lebigdata.fr/clonage-voix-ia-arnaque | https://aiexplorer.io/guides-ia/comment-identifier-un-deepfake/ | https://larevuedesmedias.ina.fr/sites/default/files/2025-02/Alliance_for_facts_IA_journalisme_FR_compressed_0.pdf | https://www.lemagit.fr/conseil/Petit-lexique-de-lIA-generative-les-grands-modeles-de-langage | https://www.lorientlejour.com/article/1345050/la-voix-clonee-par-lia-de-nouvelles-arnaques-en-vue.html
Cas concrets et scénarios réels,Les deepfakes peuvent-ils être utilisés dans des conflits armés ?,"Oui, les deepfakes peuvent être utilisés dans des conflits armés à des fins de désinformation et de manipulation de l'opinion publique. L'exemple le plus frappant est celui de la guerre en Ukraine, où un deepfake du président Zelensky demandant à son peuple de se rendre a été diffusé après le piratage d'un journal télévisé ukrainien et de son site web le 16 mars, illustrant comment cette technologie peut être utilisée comme arme de guerre psychologique.",9,https://www.futura-sciences.com/tech/actualites/cybersecurite-guerre-ukraine-ce-deepfake-failli-tout-faire-basculer-97402/ | https://www.keepersecurity.com/blog/fr/2024/09/19/what-are-deepfakes/ | https://tech-culture-mag.fr/blog/realite-des-deepfakes-xdohb | https://www.mcafee.com/blogs/fr-fr/internet-security/le-guide-ultime-des-deepfakes-generes-par-lia/
Cas concrets et scénarios réels,Est-ce que les entreprises utilisent parfois des IA sans le dire ?,"Oui, selon les documents, cette pratique existe. Notamment, l'utilisation de l'IA pour **simuler des clients, des créateurs, des recommandations ou des preuves sociales** est évoquée comme une pratique trompeuse, où la question centrale devient : « est-ce que je fais croire à quelque chose qui n'existe pas ? ». La transparence sur l'usage de l'IA est présentée comme une obligation éthique, ce qui sous-entend qu'elle n'est pas toujours respectée.",8,https://www.systeme-de-design.gouv.fr/version-courante/fr/a-propos/articles-et-actualites/presence-de-l-ia-dans-les-contenus | https://cours-ndrc.fr/detecter-ecriture-ia-guide-2026/ | https://www.projet-voltaire.fr/ressources/detecter-texte-chatgpt-ia-generative/ | https://www.lebigdata.fr/clonage-voix-ia-arnaque | https://lesuperdaily.com/episode/transparence-ia-faut-il-vraiment-dire-a-vos-audiences-quand-un-contenu-est-genere/
Cas concrets et scénarios réels,Peut-on truquer des preuves judiciaires avec l’IA ?,"Oui, l'IA peut être utilisée pour falsifier des preuves judiciaires. Des outils comme OpenAI's Sora permettent de créer des vidéos réalistes de personnes faisant des choses qu'elles n'ont jamais faites. Un exemple concret est le cas Mendones, où des plaignants ont tenté de faire admettre une vidéo générée par IA comme preuve authentique.

À l'inverse, il existe aussi un phénomène appelé le **""Liar's Dividend""**, où des parties invoquent la possibilité d'une manipulation par IA pour jeter le doute sur des preuves pourtant authentiques.

Face à ces risques, des juges et législateurs commencent à réagir : la Californie a adopté une législation établissant des standards pour identifier les preuves falsifiées, et des guides pratiques ont été publiés pour aider les juges à évaluer l'authenticité des preuves potentiellement générées par IA.",9,https://www.isba.org/sections/bench/newsletter/2025/03/deepfakesinthecourtroomproblemsandsolutions | https://www.nbcnews.com/tech/tech-news/ai-generated-evidence-deepfake-use-law-judges-object-rcna235976
Réglementation et responsabilité,Les deepfakes sont-ils légaux ?,"La légalité des deepfakes dépend de la juridiction et de l'intention. La simple création ou diffusion de médias manipulés n'est pas illégale en soi dans de nombreux endroits, mais leur utilisation à des fins de fraude, de diffamation, de harcèlement ou d'usurpation d'identité est illégale. Dans l'Union européenne, l'AI Act impose une obligation de transparence à toute personne créant un deepfake. Aux États-Unis, il n'existe pas encore de loi fédérale globale sur les deepfakes, bien que certains États aient commencé à légiférer et que le DEEP FAKES Accountability Act ait été introduit en 2019.",9,https://www.keepersecurity.com/blog/fr/2024/09/19/what-are-deepfakes/ | https://www.sentinelone.com/fr/cybersecurity-101/cybersecurity/deepfakes/ | https://www.donneespersonnelles.fr/deepfakes-cadre-juridique | https://www.datacamp.com/fr/blog/deepfakes | https://www.mcafee.com/learn/fr/guide-sur-les-escroqueries-de-type-deepfake-et-lusurpation-vocale-par-lia/
